E,syst,bin_center,hist_val
1000,no_syst,1010.7142857142858,6.832641584456452e-09
1000,no_syst,1103.5714285714284,0.0
1000,no_syst,1196.4285714285716,0.0
1000,no_syst,1289.2857142857142,0.0
1000,no_syst,1382.1428571428573,0.0
1000,no_syst,1475.0,0.0
1000,no_syst,1567.857142857143,6.858605817148553e-08
1000,no_syst,1660.7142857142858,0.0
1000,no_syst,1753.5714285714284,0.0
1000,no_syst,1846.4285714285716,3.672192291666022e-08
1000,no_syst,1939.2857142857142,0.0
1000,no_syst,2032.142857142857,3.672192291666031e-08
1000,no_syst,2125.0,0.0
1000,no_syst,2217.857142857143,0.0
1000,no_syst,2310.7142857142862,0.0
1000,no_syst,2403.5714285714284,0.0
1000,no_syst,2496.4285714285716,0.0
1000,no_syst,2589.2857142857147,0.0
1000,no_syst,2682.142857142857,0.0
1000,no_syst,2775.0,0.0
1000,no_syst,2867.857142857143,0.0
1000,no_syst,2960.714285714286,0.0
1000,no_syst,3053.5714285714284,0.0
1000,no_syst,3146.4285714285716,0.0
1000,no_syst,3239.2857142857147,0.0
1000,no_syst,3332.1428571428573,0.0
1000,no_syst,3425.0,0.0
1000,no_syst,3517.857142857143,1.3665283168912921e-08
1000,no_syst,3610.714285714286,1.7790832352278782e-07
1000,no_syst,3703.5714285714284,3.3052551104828803e-07
1000,no_syst,3796.4285714285716,5.841767530718531e-07
1000,no_syst,3889.2857142857147,1.7567759810073049e-06
1000,no_syst,3982.1428571428573,3.0502004870843965e-06
1000,no_syst,4075.0,5.208632509758357e-06
1000,no_syst,4167.857142857143,8.750021543429928e-06
1000,no_syst,4260.714285714286,1.4297116355182434e-05
1000,no_syst,4353.571428571428,2.274117559348717e-05
1000,no_syst,4446.428571428572,3.54060167027233e-05
1000,no_syst,4539.285714285715,5.247718953172162e-05
1000,no_syst,4632.142857142857,7.825508081565643e-05
1000,no_syst,4725.0,0.0001169703325983023
1000,no_syst,4817.857142857143,0.0001630192071019091
1000,no_syst,4910.714285714286,0.0002317854118514219
1000,no_syst,5003.571428571428,0.0003137242530948409
1000,no_syst,5096.428571428572,0.00043440023878056643
1000,no_syst,5189.285714285715,0.0005739722755738815
1000,no_syst,5282.142857142857,0.0007065584282031359
1000,no_syst,5375.0,0.0008297969550571977
1000,no_syst,5467.857142857143,0.0009573373956366308
